,Character,Attribute,Values
172,Brand,Armor,22 - 617.0
173,Brand,Attack damage,57 - 108.0
174,Brand,Magic resist.,30 - 115.0
175,Brand,Crit. damage,175%
176,Brand,Move. speed,340
177,Brand,Attack range,550
178,Brand,Base AS,0.625
179,Brand,Bonus AS,136
180,Braum,Health,540 - 2206.0
181,Braum,Mana,3106 - 3871.0
182,Braum,Health regen.,85 - 102.0
183,Braum,Mana regen.,6 - 142.0
184,Braum,Armor,47 - 115.0
185,Braum,Attack damage,55 - 599.0
186,Braum,Magic resist.,32 - 2157.0
187,Braum,Crit. damage,175%
188,Braum,Move. speed,335
189,Braum,Attack range,125
190,Braum,Base AS,0.644
191,Braum,Bonus AS,35
192,Caitlyn,Health,510 - 2091.0
193,Caitlyn,Mana,3137 - 3732.0
194,Caitlyn,Health regen.,35 - 970.0
195,Caitlyn,Mana regen.,74 - 1009.0
196,Caitlyn,Armor,28 - 623.0
197,Caitlyn,Attack damage,62 - 708.0
198,Caitlyn,Magic resist.,30 - 115.0
199,Caitlyn,Crit. damage,175%
200,Caitlyn,Move. speed,325
201,Caitlyn,Attack range,650
202,Caitlyn,Base AS,0.681
203,Caitlyn,Bonus AS,4
204,Camille,Health,576 - 2021.0
205,Camille,Mana,3388 - 4272.0
206,Camille,Health regen.,85 - 221.0
207,Camille,Mana regen.,815 - 2090.0
208,Camille,Armor,35 - 681.0
209,Camille,Attack damage,68 - 663.0
210,Camille,Magic resist.,32 - 2157.0
211,Camille,Crit. damage,175%
212,Camille,Move. speed,340
213,Camille,Attack range,125
214,Camille,Base AS,0.644
215,Camille,Bonus AS,25
216,Camille,Physical damageTrue damage, Physical damagePhysical damage True damageTrue damage
217,Cassiopeia,Health,560 - 2090.0
218,Cassiopeia,Mana,350 - 1370.0
219,Cassiopeia,Health regen.,55 - 140.0
220,Cassiopeia,Mana regen.,8 - 144.0
221,Cassiopeia,Armor,18 - 613.0
222,Cassiopeia,Attack damage,53 - 104.0
223,Cassiopeia,Magic resist.,32 - 117.0
224,Cassiopeia,Crit. damage,175%
225,Cassiopeia,Move. speed,328
226,Cassiopeia,Attack range,550
227,Cassiopeia,Base AS,0.647
228,Cassiopeia,Bonus AS,15
229,Cho%27Gath,Health,574 - 1934.0
230,Cho%27Gath,Mana,270 - 1290.0
231,Cho%27Gath,Health regen.,9 - 1454.0
232,Cho%27Gath,Mana regen.,72 - 837.0
233,Cho%27Gath,Armor,38 - 633.0
234,Cho%27Gath,Attack damage,69 - 783.0
235,Cho%27Gath,Magic resist.,32 - 2157.0
236,Cho%27Gath,Crit. damage,175%
237,Cho%27Gath,Move. speed,345
238,Cho%27Gath,Attack range,125
239,Cho%27Gath,Base AS,0.625
240,Cho%27Gath,Bonus AS,144
241,Corki,Health,518 - 1997.0
242,Corki,Mana,350 - 1268.0
243,Corki,Health regen.,55 - 990.0
244,Corki,Mana regen.,7424 - 8359.0
245,Corki,Armor,28 - 623.0
246,Corki,Attack damage,55 - 480.0
247,Corki,Magic resist.,30 - 115.0
248,Corki,Crit. damage,175%
249,Corki,Move. speed,325
250,Corki,Attack range,550
251,Corki,Base AS,0.638
252,Corki,Bonus AS,23
253,Corki,PhysicalMagic, Physical Magic
254,Corki,Physical damageMagic damage, Physical damagePhysical damage Magic damageMagic damage
255,Darius,Health,582 - 2282.0
256,Darius,Mana,263 - 10038.0
257,Darius,Health regen.,10 - 1625.0
258,Darius,Mana regen.,66 - 661.0
259,Darius,Armor,39 - 107.0
260,Darius,Attack damage,64 - 149.0
261,Darius,Magic resist.,32 - 2157.0
262,Darius,Crit. damage,175%
263,Darius,Move. speed,340
264,Darius,Attack range,175
265,Darius,Base AS,0.625
266,Darius,Bonus AS,1
267,Diana,Health,570 - 2185.0
268,Diana,Mana,375 - 800.0
269,Diana,Health regen.,75 - 1520.0
270,Diana,Mana regen.,8 - 144.0
271,Diana,Armor,31 - 643.0
272,Diana,Attack damage,57 - 108.0
273,Diana,Magic resist.,32 - 2157.0
274,Diana,Crit. damage,175%
275,Diana,Move. speed,345
276,Diana,Attack range,150
277,Diana,Base AS,0.625
278,Diana,Bonus AS,225
279,Dr._Mundo,Health,583 - 2096.0
280,Dr._Mundo,Health regen.,8 - 1283.0
281,Dr._Mundo,Armor,36 - 631.0
282,Dr._Mundo,Attack damage,61 - 656.0
283,Dr._Mundo,Magic resist.,32 - 2157.0
284,Dr._Mundo,Crit. damage,175%
285,Dr._Mundo,Move. speed,345
286,Dr._Mundo,Attack range,125
287,Dr._Mundo,Base AS,0.721
288,Dr._Mundo,Bonus AS,28
289,Draven,Health,605 - 2135.0
290,Draven,Mana,36056 - 36719.0
291,Draven,Health regen.,375 - 494.0
292,Draven,Mana regen.,8042 - 9147.0
293,Draven,Armor,29 - 590.0
294,Draven,Attack damage,60 - 6197.0
295,Draven,Magic resist.,30 - 115.0
296,Draven,Crit. damage,175%
297,Draven,Move. speed,330
298,Draven,Attack range,550
299,Draven,Base AS,0.679
300,Draven,Bonus AS,27
301,Draven,Missile speed,1600
302,Ekko,Health,585 - 2030.0
303,Ekko,Mana,280 - 1470.0
304,Ekko,Health regen.,9 - 162.0
305,Ekko,Mana regen.,7 - 143.0
306,Ekko,Armor,32 - 83.0
307,Ekko,Attack damage,58 - 109.0
308,Ekko,Magic resist.,32 - 2157.0
309,Ekko,Crit. damage,175%
310,Ekko,Move. speed,340
311,Ekko,Attack range,125
312,Ekko,Base AS,0.688
313,Ekko,Bonus AS,33
314,Elise,Health,534 - 2115.0
315,Elise,Mana,324 - 1174.0
316,Elise,Health regen.,55 - 157.0
317,Elise,Mana regen.,6 - 142.0
318,Elise,Armor,27 - 5722.0
319,Elise,Attack damage,55 - 106.0
320,Elise,Magic resist.,30 - 115.0
321,Elise,Crit. damage,175%
322,Elise,Move. speed,330
323,Elise,Attack range,550
324,Elise,Base AS,0.625
325,Elise,Bonus AS,175
326,Elise,Magic damage,10152025 - 10152280.0
327,Elise,Attack speed,0.6650% − 25% (based on  Skittering Frenzy's rank)
328,Elise,Range,100
329,Elise,Magic res.,50 / 70 / 90 / 110
330,Elise,Incoming damage modifierarea damage, area damage
331,Elise,Mov. speed,350
332,Evelynn,Health,572 - 2000.0
333,Evelynn,Mana,315 - 1029.0
334,Evelynn,Health regen.,85 - 1360.0
335,Evelynn,Mana regen.,811 - 913.0
336,Evelynn,Armor,37 - 632.0
337,Evelynn,Attack damage,61 - 112.0
338,Evelynn,Magic resist.,32 - 2157.0
339,Evelynn,Crit. damage,175%
340,Evelynn,Move. speed,335
341,Evelynn,Attack range,125
342,Evelynn,Base AS,0.667
343,Evelynn,Bonus AS,21
344,Ezreal,Health,530 - 2026.0
345,Ezreal,Mana,375 - 1565.0
346,Ezreal,Health regen.,4 - 939.0
347,Ezreal,Mana regen.,85 - 1190.0
348,Ezreal,Armor,22 - 617.0
349,Ezreal,Attack damage,60 - 485.0
350,Ezreal,Magic resist.,30 - 115.0
351,Ezreal,Crit. damage,175%
352,Ezreal,Move. speed,325
353,Ezreal,Attack range,550
354,Ezreal,Base AS,0.625
355,Ezreal,Bonus AS,25
356,Fiddlesticks,Health,5804 - 7368.0
357,Fiddlesticks,Mana,500 - 976.0
358,Fiddlesticks,Health regen.,55 - 157.0
359,Fiddlesticks,Mana regen.,8 - 144.0
360,Fiddlesticks,Armor,34 - 629.0
361,Fiddlesticks,Attack damage,5536 - 10007.0
362,Fiddlesticks,Magic resist.,30 - 115.0
363,Fiddlesticks,Crit. damage,175%
364,Fiddlesticks,Move. speed,335
365,Fiddlesticks,Attack range,480
366,Fiddlesticks,Base AS,0.625
367,Fiddlesticks,Bonus AS,211
368,Fiora,Health,550 - 1995.0
369,Fiora,Mana,300 - 1320.0
370,Fiora,Health regen.,85 - 1020.0
371,Fiora,Mana regen.,8 - 127.0
372,Fiora,Armor,33 - 628.0
373,Fiora,Attack damage,68 - 629.0
374,Fiora,Magic resist.,32 - 2157.0
375,Fiora,Crit. damage,175%
376,Fiora,Move. speed,345
377,Fiora,Attack range,150
378,Fiora,Base AS,0.69
379,Fiora,Bonus AS,32
380,Fizz,Health,570 - 2236.0
381,Fizz,Mana,3172 - 3801.0
382,Fizz,Health regen.,8 - 127.0
383,Fizz,Mana regen.,6 - 142.0
384,Fizz,Armor,22 - 600.0
385,Fizz,Attack damage,58 - 109.0
386,Fizz,Magic resist.,32 - 2157.0
387,Fizz,Crit. damage,175%
388,Fizz,Move. speed,335
389,Fizz,Attack range,175
390,Fizz,Base AS,0.658
391,Fizz,Bonus AS,31
392,Fizz,PhysicalMagic, Physical Magic
393,Galio,Health,562 - 2466.0
394,Galio,Mana,500 - 1180.0
395,Galio,Health regen.,8 - 144.0
396,Galio,Mana regen.,95 - 214.0
397,Galio,Armor,24 - 619.0
398,Galio,Attack damage,59 - 654.0
399,Galio,Magic resist.,32 - 2157.0
400,Galio,Crit. damage,175%
401,Galio,Move. speed,335
402,Galio,Attack range,150
403,Galio,Base AS,0.625
404,Galio,Bonus AS,15
405,Gangplank,Health,540 - 1934.0
406,Gangplank,Mana,280 - 1300.0
407,Gangplank,Health regen.,6 - 108.0
408,Gangplank,Mana regen.,75 - 194.0
409,Gangplank,Armor,35 - 86.0
410,Gangplank,Attack damage,64 - 132.0
411,Gangplank,Magic resist.,32 - 2157.0
412,Gangplank,Crit. damage,175%
413,Gangplank,Move. speed,345
414,Gangplank,Attack range,125
415,Gangplank,Base AS,0.658
416,Gangplank,Bonus AS,32
417,Gangplank,Incoming damage modifierParrrleyminionsabilities, ParrrleyParrrley
418,Gangplank,Mov. speed,"

Static
"
419,Garen,Health,620 - 2048.0
420,Garen,Health regen.,8 - 93.0
421,Garen,Armor,36 - 87.0
422,Garen,Attack damage,66 - 831.0
423,Garen,Magic resist.,32 - 1307.0
424,Garen,Crit. damage,175%
425,Garen,Move. speed,340
426,Garen,Attack range,175
427,Garen,Base AS,0.625
428,Garen,Bonus AS,365
429,Gnar,Health,510 - 1615.0
430,Gnar,Health regen.,45 - 3020.0
431,Gnar,Secondary BarRage, Rage
432,Gnar,Armor,32 - 457.0
433,Gnar,Attack damage,59 - 110.0
434,Gnar,Magic resist.,30 - 115.0
435,Gnar,Crit. damage,175%
436,Gnar,Move. speed,335
437,Gnar,Attack range,400
438,Gnar,Base AS,0.625
439,Gnar,Bonus AS,6
440,Gragas,Health,600 - 2215.0
441,Gragas,Mana,400 - 1199.0
442,Gragas,Health regen.,55 - 140.0
443,Gragas,Mana regen.,6 - 142.0
444,Gragas,Armor,38 - 650.0
445,Gragas,Attack damage,64 - 659.0
446,Gragas,Magic resist.,32 - 2157.0
447,Gragas,Crit. damage,175%
448,Gragas,Move. speed,330
449,Gragas,Attack range,125
450,Gragas,Base AS,0.675
451,Gragas,Bonus AS,205
452,Graves,Health,555 - 2119.0
453,Graves,Mana,325 - 1005.0
454,Graves,Health regen.,8 - 127.0
455,Graves,Armor,33 - 611.0
456,Graves,Attack damage,64 - 115.0
457,Graves,Magic resist.,32 - 2157.0
458,Graves,Crit. damage,175%
459,Graves,Move. speed,340
460,Graves,Attack range,425
461,Graves,Base AS,0.475
462,Graves,Bonus AS,26
463,Hecarim,Health,580 - 2110.0
464,Hecarim,Mana,2772 - 3792.0
465,Hecarim,Health regen.,7 - 1282.0
466,Hecarim,Mana regen.,65 - 167.0
467,Hecarim,Armor,36 - 104.0
468,Hecarim,Attack damage,66 - 610.0
469,Hecarim,Magic resist.,32 - 2157.0
470,Hecarim,Crit. damage,175%
471,Hecarim,Move. speed,345
472,Hecarim,Attack range,175
473,Hecarim,Base AS,0.67
474,Hecarim,Bonus AS,25
475,Heimerdinger,Health,488 - 1967.0
476,Heimerdinger,Mana,385 - 725.0
477,Heimerdinger,Health regen.,7 - 942.0
478,Heimerdinger,Mana regen.,8 - 144.0
479,Heimerdinger,Armor,19 - 70.0
480,Heimerdinger,Attack damage,56 - 515.0
481,Heimerdinger,Magic resist.,30 - 115.0
482,Heimerdinger,Crit. damage,175%
483,Heimerdinger,Move. speed,340
484,Heimerdinger,Attack range,550
485,Heimerdinger,Base AS,0.625
486,Heimerdinger,Bonus AS,136
487,Heimerdinger,Magic damage,69121518 - 69122113.0
488,Heimerdinger,Attack speed,1.75
489,Heimerdinger,Range,"

525
"
490,Heimerdinger,Magic res.,25 − 65 (based on level)
491,Heimerdinger,Incoming damage modifiermelee, melee
492,Heimerdinger,Mov. speed,"

Static
"
493,Heimerdinger,CC resist.Immune to crowd controlstasis, Immune to crowd control stasis
494,Illaoi,Health,586 - 2201.0
495,Illaoi,Mana,300 - 980.0
496,Illaoi,Health regen.,95 - 231.0
497,Illaoi,Mana regen.,75 - 1350.0
498,Illaoi,Armor,35 - 681.0
499,Illaoi,Attack damage,68 - 153.0
500,Illaoi,Magic resist.,32 - 2157.0
501,Illaoi,Crit. damage,175%
502,Illaoi,Move. speed,340
503,Illaoi,Attack range,125
504,Illaoi,Base AS,0.571
505,Illaoi,Bonus AS,25
506,Illaoi,PhysicalMagicTrue, Physical Magic True
507,Illaoi,Sight radius,"

Blind
"
508,Illaoi,Attack speed,1
509,Illaoi,Range,"

850
"
510,Illaoi,Incoming damage modifier,"
1 from champion basic attacks
"
511,Illaoi,CC resist.Immune to crowd control, Immune to crowd control
512,Illaoi,Mov. speed,"

Static
"
513,Irelia,Health,580 - 2195.0
514,Irelia,Mana,350 - 1200.0
515,Irelia,Health regen.,85 - 1530.0
516,Irelia,Mana regen.,8 - 144.0
517,Irelia,Armor,36 - 87.0
518,Irelia,Attack damage,65 - 133.0
519,Irelia,Magic resist.,32 - 2157.0
520,Irelia,Crit. damage,175%
521,Irelia,Move. speed,335
522,Irelia,Attack range,200
523,Irelia,Base AS,0.656
524,Irelia,Bonus AS,25
525,Ivern,Health,585 - 2030.0
526,Ivern,Mana,450 - 1470.0
527,Ivern,Health regen.,7 - 1452.0
528,Ivern,Mana regen.,6 - 1281.0
529,Ivern,Armor,27 - 622.0
530,Ivern,Attack damage,50 - 101.0
531,Ivern,Magic resist.,32 - 2157.0
532,Ivern,Crit. damage,175%
533,Ivern,Move. speed,330
534,Ivern,Attack range,475
535,Ivern,Base AS,0.644
536,Ivern,Bonus AS,34
537,Ivern,Attack speed,0.730 / 50 / 70%
538,Ivern,Range,"

125
"
539,Ivern,Magic res.,154090 - 154175.0
540,Ivern,Mov. speed,419
541,Janna,Health,500 - 1690.0
542,Janna,Mana,350 - 1438.0
543,Janna,Health regen.,55 - 990.0
544,Janna,Mana regen.,115 - 183.0
545,Janna,Armor,28 - 674.0
546,Janna,Attack damage,46 - 301.0
547,Janna,Magic resist.,30 - 115.0
548,Janna,Crit. damage,175%
549,Janna,Move. speed,315
550,Janna,Attack range,550
551,Janna,Base AS,0.625
552,Janna,Bonus AS,295
553,Jarvan_IV,Health,570 - 2100.0
554,Jarvan_IV,Mana,300 - 980.0
555,Jarvan_IV,Health regen.,8 - 127.0
556,Jarvan_IV,Mana regen.,65 - 830.0
557,Jarvan_IV,Armor,34 - 646.0
558,Jarvan_IV,Attack damage,64 - 642.0
559,Jarvan_IV,Magic resist.,32 - 2157.0
560,Jarvan_IV,Crit. damage,175%
561,Jarvan_IV,Move. speed,340
562,Jarvan_IV,Attack range,175
563,Jarvan_IV,Base AS,0.658
564,Jarvan_IV,Bonus AS,25
565,Jax,Health,593 - 2038.0
566,Jax,Mana,3388 - 4272.0
567,Jax,Health regen.,85 - 1020.0
568,Jax,Mana regen.,7576 - 7695.0
569,Jax,Armor,36 - 87.0
570,Jax,Attack damage,68 - 7293.0
571,Jax,Magic resist.,32 - 2157.0
572,Jax,Crit. damage,175%
573,Jax,Move. speed,350
574,Jax,Attack range,125
575,Jax,Base AS,0.638
576,Jax,Bonus AS,34
577,Jayce,Health,560 - 2090.0
578,Jayce,Mana,375 - 1140.0
579,Jayce,Health regen.,6 - 108.0
580,Jayce,Mana regen.,6 - 142.0
581,Jayce,Armor,27 - 622.0
582,Jayce,Attack damage,54 - 7279.0
583,Jayce,Magic resist.,30 - 115.0
584,Jayce,Crit. damage,175%
585,Jayce,Move. speed,335
586,Jayce,Attack range,125
587,Jayce,Base AS,0.658
588,Jayce,Bonus AS,3
589,Jhin,Health,585 - 2166.0
590,Jhin,Mana,300 - 1150.0
591,Jhin,Health regen.,375 - 1310.0
592,Jhin,Mana regen.,6 - 142.0
593,Jhin,Armor,24 - 619.0
594,Jhin,Attack damage,59 - 858.0
595,Jhin,Magic resist.,30 - 115.0
596,Jhin,Crit. damage, 175% ( ×  0.86)
597,Jhin,Move. speed,330
598,Jhin,Attack range,550
599,Jhin,Base AS,0625 - 676.0
600,Jhin,Bonus AS,0%
601,Jhin,Range,"

260
"
602,Jhin,Incoming damage modifierrangedmelee, ranged melee
603,Jhin,Mov. speed,"

Static
"
604,Jinx,Health,610 - 2072.0
605,Jinx,Mana,245 - 1010.0
606,Jinx,Health regen.,375 - 460.0
607,Jinx,Mana regen.,67 - 84.0
608,Jinx,Armor,28 - 623.0
609,Jinx,Attack damage,57 - 635.0
610,Jinx,Magic resist.,30 - 115.0
611,Jinx,Crit. damage,175%
612,Jinx,Move. speed,325
613,Jinx,Attack range,525
614,Jinx,Base AS,0.625
615,Jinx,Bonus AS,1
616,Kai%27Sa,Health,600 - 2096.0
617,Kai%27Sa,Mana,34488 - 35134.0
618,Kai%27Sa,Health regen.,35 - 970.0
619,Kai%27Sa,Mana regen.,82 - 847.0
620,Kai%27Sa,Armor,28 - 79.0
621,Kai%27Sa,Attack damage,59 - 93.0
622,Kai%27Sa,Magic resist.,30 - 115.0
623,Kai%27Sa,Crit. damage,175%
624,Kai%27Sa,Move. speed,335
625,Kai%27Sa,Attack range,525
626,Kai%27Sa,Base AS,0.644
627,Kai%27Sa,Bonus AS,18
628,Kalista,Health,534 - 2234.0
629,Kalista,Mana,250 - 1015.0
630,Kalista,Health regen.,375 - 1310.0
631,Kalista,Mana regen.,63 - 131.0
632,Kalista,Armor,21 - 89.0
633,Kalista,Attack damage,69 - 664.0
634,Kalista,Magic resist.,30 - 115.0
635,Kalista,Crit. damage,175%
636,Kalista,Move. speed,325
637,Kalista,Attack range,525
638,Kalista,Base AS,0.694
639,Kalista,Bonus AS,4
640,Kalista,Sight radius,"

450
"
641,Kalista,Incoming damage modifierturretsabilities,"
Incoming damage modifier1 from champion basic attacks2 from turretsNot a valid target to minions and abilities
"
642,Kalista,Mov. speed,280
643,Karma,Health,534 - 2149.0
644,Karma,Mana,374 - 1224.0
645,Karma,Health regen.,55 - 990.0
646,Karma,Mana regen.,13 - 98.0
647,Karma,Armor,26 - 672.0
648,Karma,Attack damage,54 - 615.0
649,Karma,Magic resist.,30 - 115.0
650,Karma,Crit. damage,175%
651,Karma,Move. speed,335
652,Karma,Attack range,525
653,Karma,Base AS,0.625
654,Karma,Bonus AS,23
655,Karthus,Health,550 - 2029.0
656,Karthus,Mana,467 - 5652.0
657,Karthus,Health regen.,65 - 1000.0
658,Karthus,Mana regen.,8 - 144.0
659,Karthus,Armor,18 - 613.0
660,Karthus,Attack damage,46 - 5571.0
661,Karthus,Magic resist.,30 - 115.0
662,Karthus,Crit. damage,175%
663,Karthus,Move. speed,335
664,Karthus,Attack range,450
665,Karthus,Base AS,0.625
666,Karthus,Bonus AS,211
667,Kassadin,Health,576 - 2361.0
668,Kassadin,Mana,3976 - 5455.0
669,Kassadin,Health regen.,6 - 91.0
670,Kassadin,Mana regen.,6 - 142.0
671,Kassadin,Armor,19 - 495.0
672,Kassadin,Attack damage,59 - 722.0
673,Kassadin,Magic resist.,30 - 115.0
674,Kassadin,Crit. damage,175%
675,Kassadin,Move. speed,335
676,Kassadin,Attack range,150
677,Kassadin,Base AS,0.64
678,Kassadin,Bonus AS,37
679,Katarina,Health,602 - 2200.0
680,Katarina,Health regen.,75 - 194.0
681,Katarina,Armor,28 - 623.0
682,Katarina,Attack damage,58 - 602.0
683,Katarina,Magic resist.,32 - 2157.0
684,Katarina,Crit. damage,175%
685,Katarina,Move. speed,340
686,Katarina,Attack range,125
687,Katarina,Base AS,0.658
688,Katarina,Bonus AS,274
689,Kayle,Health,600 - 2045.0
690,Kayle,Mana,330 - 1180.0
691,Kayle,Health regen.,5 - 90.0
692,Kayle,Mana regen.,8 - 144.0
693,Kayle,Armor,26 - 77.0
694,Kayle,Attack damage,50 - 475.0
695,Kayle,Magic resist.,30 - 115.0
696,Kayle,Crit. damage,175%
697,Kayle,Move. speed,335
698,Kayle,Attack range,175
699,Kayle,Base AS,0.625
700,Kayle,Bonus AS,15
701,Kayle,Missile speed,5000
702,Kayn,Health,585 - 2030.0
703,Kayn,Mana,410 - 1260.0
704,Kayn,Health regen.,8 - 1283.0
705,Kayn,Mana regen.,115 - 1730.0
706,Kayn,Armor,38 - 599.0
707,Kayn,Attack damage,68 - 629.0
708,Kayn,Magic resist.,32 - 2157.0
709,Kayn,Crit. damage,175%
710,Kayn,Move. speed,340
711,Kayn,Attack range,175
712,Kayn,Base AS,0.669
713,Kayn,Bonus AS,27
714,Kennen,Health,541 - 1969.0
715,Kennen,Energy,200 - 200.0
716,Kennen,Health regen.,55 - 1160.0
717,Kennen,Energy regen.,50
718,Kennen,Armor,29 - 6404.0
719,Kennen,Attack damage,48 - 6423.0
